user_id,login_attempts,failed_logins,unusual_time_access,ip_rep_score,browser_type,new_device_login,session_duration_deviation,network_packet_size_variance,mouse_speed,typing_speed,day_of_week,time_of_day,is_bot
user_1478,4,0,False,0.39,Firefox,False,0.2,0.46,1.0,45.71,Wednesday,Afternoon,False
user_395,2,1,False,0.09,Chrome,False,1.05,0.43,0.94,64.47,Tuesday,Night,False
user_647,6,3,False,0.99,Chrome,False,4.04,1.9,2.04,38.27,Saturday,Afternoon,True
user_245,1,1,False,0.34,Chrome,False,0.99,0.03,1.86,50.35,Thursday,Afternoon,False
user_1522,2,1,False,0.42,Chrome,False,1.85,0.73,0.99,62.82,Thursday,Morning,False
user_1098,5,0,False,0.41,Chrome,False,1.09,0.14,1.7,42.98,Sunday,Morning,False
user_1948,3,4,False,0.51,Chrome,False,4.37,2.21,4.78,29.53,Thursday,Evening,True
user_1561,6,2,False,0.69,Firefox,False,3.77,1.55,3.68,21.49,Sunday,Afternoon,True
user_1414,1,0,False,0.39,Chrome,False,0.86,0.03,0.66,41.26,Sunday,Morning,False
user_380,5,1,False,0.3,Firefox,False,1.89,0.6,1.54,75.22,Tuesday,Morning,False
user_393,3,5,True,0.9,Chrome,False,3.62,2.61,4.69,19.54,Monday,Morning,True
user_444,3,1,False,0.18,Chrome,False,1.07,0.48,1.54,50.78,Sunday,Evening,False
user_1513,3,4,False,0.99,Other,False,3.49,1.6,2.85,11.11,Monday,Afternoon,True
user_992,4,1,False,0.17,Firefox,False,1.06,0.45,1.33,63.71,Sunday,Evening,False
user_567,5,1,False,0.68,Firefox,False,3.61,1.18,4.51,19.62,Saturday,Night,True
user_1484,5,4,False,0.61,Edge,False,3.05,1.19,4.82,21.93,Sunday,Afternoon,True
user_1208,1,2,False,0.06,Safari,False,0.52,0.66,1.73,62.21,Thursday,Morning,False
user_1557,1,1,True,0.45,Firefox,False,0.7,0.73,1.85,75.48,Monday,Night,False
user_1075,3,0,False,0.45,Firefox,False,0.2,0.66,0.51,46.43,Tuesday,Afternoon,False
user_1223,3,0,False,0.36,Chrome,False,1.49,0.65,1.77,66.3,Monday,Night,False
user_580,3,2,False,0.13,Firefox,True,0.97,0.91,1.15,54.0,Monday,Night,False
user_206,1,0,False,0.25,Firefox,False,0.09,0.99,1.2,51.18,Saturday,Evening,False
user_1706,3,5,True,0.71,Other,True,4.56,1.59,3.16,35.53,Wednesday,Night,True
user_398,1,1,True,0.35,Firefox,False,1.23,0.99,0.71,60.73,Tuesday,Afternoon,False
user_607,1,0,False,0.18,Chrome,False,1.62,0.87,1.87,60.45,Monday,Night,False
user_466,4,0,False,0.2,Chrome,False,0.06,0.58,1.16,66.88,Wednesday,Morning,False
user_740,5,1,False,0.02,Chrome,False,0.72,0.13,1.28,70.8,Thursday,Night,False
user_368,9,4,True,0.6,Chrome,False,2.42,1.27,4.91,31.44,Wednesday,Morning,True
user_620,9,3,False,0.54,Chrome,True,4.51,2.39,3.23,15.2,Monday,Evening,True
user_29,1,0,False,0.48,Edge,False,1.22,0.42,0.87,54.24,Friday,Afternoon,False
user_1451,7,4,False,0.52,Safari,False,3.42,1.2,3.47,24.2,Monday,Afternoon,True
