user_id,login_attempts,failed_logins,unusual_time_access,ip_rep_score,browser_type,new_device_login,session_duration_deviation,network_packet_size_variance,mouse_speed,typing_speed,day_of_week,time_of_day,is_bot
user_1478,6.0,3.0,True,0.29,Chrome,False,0.31,0.38,2.02,44.95,Monday,Night,True
user_1098,6.0,0.0,False,0.11,Other,False,0.3,0.67,1.56,66.72,Tuesday,Night,True
user_393,5.0,1.0,False,0.56,Firefox,False,4.17,1.59,4.19,16.92,Friday,Evening,False
user_1484,5.0,2.0,True,0.88,Chrome,False,1.96,1.64,4.34,18.85,Monday,Morning,False
user_1223,3.0,1.0,False,0.16,Chrome,False,1.71,0.86,1.89,73.5,Monday,Night,True
user_398,5.0,2.0,False,0.29,Edge,False,0.23,0.17,0.61,52.03,Monday,Night,True
user_620,8.0,6.0,True,0.53,Chrome,False,5.1,2.49,4.1,37.17,Tuesday,,False
user_562,,1.0,False,0.48,Chrome,False,0.56,0.02,1.74,62.78,Monday,Afternoon,True
user_599,5.0,2.0,False,0.11,Chrome,False,0.56,0.52,0.5,64.43,Sunday,Night,True
user_1779,3.0,1.0,True,0.33,Chrome,False,1.25,0.63,1.61,50.92,Sunday,Evening,True
user_26,10.0,0.0,False,0.83,Firefox,False,2.67,2.23,3.01,23.11,Monday,Night,False
user_903,6.0,1.0,False,0.18,Edge,True,1.2,1.11,1.85,61.95,Monday,Evening,False
user_518,4.0,1.0,False,0.32,Chrome,False,0.67,0.51,1.39,61.79,Saturday,Evening,True
user_1684,10.0,3.0,True,0.69,Firefox,,4.32,2.04,3.85,39.54,Saturday,Morning,False
user_1182,2.0,0.0,False,0.58,Safari,False,1.12,0.12,1.77,68.54,Tuesday,Night,True
user_306,7.0,3.0,True,0.91,Edge,False,3.19,2.84,4.75,28.03,Monday,Night,True
user_175,4.0,3.0,False,0.06,Chrome,False,0.87,0.31,0.88,50.68,Monday,Night,True
user_1566,5.0,1.0,False,0.03,Firefox,False,1.93,0.41,1.46,53.34,Friday,Afternoon,True
user_1267,6.0,3.0,False,0.95,Chrome,False,2.98,2.29,3.91,27.38,Tuesday,Night,False
user_923,3.0,0.0,False,0.01,Other,False,0.3,0.71,1.35,46.41,Thursday,Afternoon,True
user_1206,8.0,3.0,False,0.96,Chrome,False,3.45,2.44,3.61,28.88,Wednesday,Evening,False
user_1272,6.0,0.0,False,0.56,Chrome,False,2.24,1.77,3.34,,Sunday,Night,True
user_204,4.0,1.0,False,0.3,Firefox,False,1.21,0.51,0.96,75.3,Thursday,Morning,True
user_433,5.0,2.0,False,0.77,Chrome,False,1.85,3.13,3.52,30.13,Tuesday,Evening,False
user_492,7.0,1.0,False,0.2,Edge,False,2.34,0.73,1.65,72.92,Monday,Afternoon,True
user_6,2.0,0.0,False,0.27,Edge,False,-0.25,0.91,1.37,82.75,Thursday,Night,True
user_963,4.0,0.0,False,0.09,Chrome,False,0.88,0.9,1.98,64.62,Monday,Evening,True
user_1448,0.0,0.0,False,0.5,Firefox,False,0.51,0.77,1.12,43.82,Sunday,Evening,False
user_146,7.0,2.0,False,1.05,Firefox,False,2.52,1.84,3.33,44.09,Saturday,Evening,True
user_1614,1.0,4.0,False,0.66,Edge,True,4.29,2.1,4.14,9.56,Monday,Afternoon,False
user_1647,3.0,5.0,False,1.05,Edge,False,3.02,1.33,4.94,40.45,Friday,Morning,False
user_1116,1.0,1.0,False,0.05,Chrome,False,2.01,-0.09,0.53,62.36,Tuesday,Night,True
user_545,6.0,1.0,True,0.29,Chrome,False,1.58,0.97,2.08,66.01,Wednesday,Evening,True
user_340,2.0,0.0,True,0.22,Safari,True,0.72,0.35,1.67,57.99,Wednesday,Evening,True
user_1689,3.0,1.0,False,0.27,Firefox,False,1.3,0.88,2.06,52.17,Tuesday,Night,True
user_255,7.0,0.0,False,0.26,Chrome,False,0.24,0.59,0.92,50.12,Thursday,Morning,True
user_825,3.0,6.0,False,0.91,Edge,False,3.72,1.08,4.41,27.79,Tuesday,Afternoon,False
user_1012,3.0,1.0,False,0.1,Edge,False,0.8,0.33,1.18,60.03,Saturday,Afternoon,True
user_1822,4.0,3.0,False,0.71,Firefox,False,5.07,1.24,2.2,11.69,Saturday,Afternoon,False
user_513,1.0,3.0,False,0.41,Chrome,True,2.05,0.06,1.93,62.99,Wednesday,,True
user_1381,3.0,1.0,False,0.31,Edge,False,1.44,0.38,1.01,62.43,Tuesday,Morning,True
user_1948,5.0,2.0,False,0.9,Firefox,False,3.48,,2.6,34.96,Wednesday,Morning,False
user_1683,6.0,1.0,True,0.46,Chrome,False,1.68,0.37,1.48,72.55,Friday,Afternoon,True
user_1549,0.0,0.0,False,0.18,Chrome,False,0.7,0.85,1.13,62.23,Wednesday,Night,True
user_906,6.0,0.0,False,0.78,Firefox,False,4.47,2.41,4.17,24.89,Friday,Morning,False
user_1199,5.0,0.0,False,0.31,Edge,False,2.11,0.18,0.92,68.72,Saturday,Afternoon,False
user_1985,2.0,1.0,True,0.28,Firefox,False,1.08,1.19,,82.78,Saturday,Evening,True
user_683,5.0,1.0,False,0.16,Firefox,False,1.19,0.9,1.64,58.81,Wednesday,Evening,True
user_330,2.0,0.0,True,0.2,Firefox,False,1.01,0.75,0.71,79.9,Monday,Night,True
user_591,3.0,2.0,False,0.0,Firefox,False,0.41,0.47,1.06,58.94,Monday,Night,True
user_1558,9.0,2.0,True,0.82,Other,False,4.51,1.96,2.59,26.24,Friday,Evening,False
user_645,4.0,3.0,False,0.93,Edge,False,3.71,1.82,1.62,11.5,Friday,Evening,False
user_1583,6.0,1.0,True,0.28,Edge,False,0.4,0.51,1.41,53.53,Thursday,Night,True
user_3,2.0,2.0,True,0.12,Chrome,False,1.02,0.34,2.0,44.59,Wednesday,Afternoon,True
user_847,4.0,0.0,False,0.2,,False,0.04,0.41,1.01,60.5,Monday,Afternoon,True
user_1276,1.0,2.0,False,0.1,Chrome,False,1.29,0.79,1.82,74.51,Monday,Afternoon,True
user_1557,4.0,3.0,,0.41,Firefox,False,0.54,0.54,1.36,38.81,Thursday,Night,True
user_269,7.0,5.0,False,1.0,Edge,False,3.15,3.07,4.18,33.1,Monday,Afternoon,False
user_1431,4.0,0.0,True,0.06,Safari,False,1.55,0.15,1.37,83.28,Tuesday,Evening,True
user_1291,4.0,2.0,True,0.04,Chrome,False,0.35,0.47,0.41,64.49,Monday,Morning,True
user_325,3.0,1.0,False,0.33,Chrome,False,1.2,-0.22,0.17,41.3,Thursday,Evening,True
user_836,0.0,3.0,False,0.27,Firefox,False,1.92,0.46,1.41,43.3,,Night,False
user_1870,7.0,1.0,False,0.57,Firefox,True,2.22,0.01,1.49,69.43,Wednesday,Afternoon,False
user_1327,0.0,0.0,True,0.09,Other,True,2.35,0.11,1.83,49.31,Saturday,Morning,True
user_1468,3.0,0.0,True,0.21,Chrome,False,0.44,-0.07,2.13,48.78,Saturday,Night,True
user_851,4.0,1.0,True,0.13,Other,False,1.78,0.95,1.54,76.92,Wednesday,Night,False
user_500,4.0,4.0,False,0.61,Safari,False,3.79,3.04,3.78,13.35,Friday,Afternoon,False
user_391,3.0,1.0,True,0.07,Chrome,False,0.74,0.08,1.36,46.52,Monday,Night,True
user_1801,5.0,2.0,True,0.33,Edge,True,0.6,0.69,0.16,79.0,Sunday,Morning,True
user_1583,4.0,1.0,False,0.1,Chrome,False,0.01,0.14,1.52,74.44,Friday,Morning,True
user_1914,3.0,2.0,False,0.14,Other,False,1.87,1.14,1.58,50.69,Saturday,Evening,True
user_6,5.0,0.0,False,0.28,Firefox,False,-0.0,0.13,0.81,69.81,Thursday,Afternoon,True
user_1203,2.0,1.0,False,0.25,Firefox,False,0.47,0.38,1.63,45.63,Saturday,Night,True
user_1773,5.0,0.0,True,0.5,Edge,False,0.28,0.01,0.66,75.44,Monday,Afternoon,True
user_707,0.0,0.0,False,0.02,Chrome,False,1.68,0.0,0.79,63.57,Saturday,Morning,True
user_773,0.0,1.0,True,0.3,Firefox,False,1.48,0.21,0.68,69.93,Thursday,Morning,True
user_387,5.0,2.0,True,0.1,Edge,False,1.05,0.56,2.47,63.01,Wednesday,Morning,True
user_785,6.0,3.0,True,0.91,Chrome,False,3.6,1.3,3.67,31.62,Tuesday,Evening,False
user_90,3.0,3.0,False,0.16,Firefox,False,0.75,0.47,1.32,59.63,Saturday,Morning,True
user_1871,6.0,2.0,False,0.2,Chrome,False,1.7,0.55,1.29,78.33,Wednesday,Afternoon,True
user_1360,4.0,1.0,False,0.24,Safari,False,0.6,0.52,1.58,67.68,Sunday,Evening,True
user_312,4.0,0.0,True,0.01,Chrome,False,0.13,-0.15,1.57,55.69,Wednesday,Evening,True
user_1029,0.0,0.0,True,0.23,Firefox,False,-0.19,0.43,0.98,74.74,Friday,Night,True
user_206,4.0,1.0,True,0.09,Chrome,False,2.0,0.29,1.98,80.9,Friday,Morning,True
user_1078,3.0,1.0,False,0.53,Edge,False,0.19,0.81,1.83,79.83,Sunday,Evening,True
user_296,1.0,1.0,False,0.19,Firefox,False,0.81,0.62,0.68,60.17,Saturday,Afternoon,True
user_317,6.0,2.0,True,0.76,,False,3.04,2.18,4.09,36.57,Wednesday,Evening,False
user_543,7.0,5.0,False,0.88,Safari,False,2.29,1.38,3.22,24.29,Thursday,Afternoon,False
user_1331,2.0,5.0,False,0.63,Chrome,False,3.73,1.99,4.87,34.68,,Afternoon,False
user_1382,6.0,0.0,False,0.29,Edge,True,0.44,0.65,1.66,62.66,Thursday,Afternoon,True
user_649,4.0,1.0,False,0.37,Chrome,False,1.39,0.39,1.18,64.75,Wednesday,Evening,False
user_1000,4.0,2.0,False,0.77,Chrome,False,3.65,2.97,2.94,26.88,Monday,Evening,False
user_141,4.0,4.0,True,0.75,Firefox,False,3.96,1.44,2.12,19.98,Wednesday,Afternoon,False
user_589,5.0,0.0,False,0.29,Firefox,False,1.16,0.45,2.12,48.38,Saturday,Morning,True
user_889,2.0,0.0,False,0.23,Edge,False,1.93,0.43,0.72,50.28,Wednesday,Morning,True
user_1442,1.0,2.0,False,0.3,Safari,False,2.34,0.47,0.99,59.0,Saturday,Afternoon,True
user_1422,4.0,0.0,False,-0.06,Chrome,True,1.58,0.56,1.08,49.55,Saturday,Morning,True
user_665,5.0,1.0,False,0.6,Chrome,False,4.94,2.89,2.94,19.24,Saturday,Night,False
user_768,2.0,3.0,False,0.22,Chrome,False,1.63,0.26,0.33,68.96,Sunday,Night,True
user_844,4.0,5.0,False,0.56,Chrome,False,4.77,2.53,3.82,25.58,Sunday,Morning,False
user_349,4.0,2.0,False,0.41,Firefox,False,1.06,0.91,0.36,40.42,Monday,Night,True
user_784,11.0,5.0,False,0.64,Chrome,False,4.55,2.65,4.5,14.65,Monday,Morning,False
user_1870,6.0,0.0,True,0.18,Edge,False,0.72,0.46,1.56,49.11,Sunday,Morning,True
user_1307,3.0,3.0,False,0.32,Chrome,False,0.74,1.27,2.2,53.31,Friday,Afternoon,True
user_20,5.0,2.0,True,0.71,Firefox,False,2.53,1.41,3.83,15.92,Wednesday,Night,False
user_590,7.0,2.0,False,0.25,Chrome,False,0.8,0.88,0.48,51.77,Friday,Evening,True
user_905,6.0,3.0,False,0.76,Other,False,3.35,1.0,4.03,28.47,Tuesday,Morning,True
user_613,4.0,2.0,False,0.04,Chrome,False,1.6,-0.1,0.72,74.42,Tuesday,Afternoon,True
user_513,2.0,1.0,True,0.03,Edge,False,1.34,0.43,1.32,57.22,Tuesday,Afternoon,True
user_788,2.0,1.0,False,0.42,Edge,False,0.94,0.06,1.75,45.07,Saturday,Morning,True
