user_id,login_attempts,failed_logins,unusual_time_access,ip_rep_score,browser_type,new_device_login,session_duration_deviation,network_packet_size_variance,mouse_speed,typing_speed,day_of_week,time_of_day,is_bot
user_1372,6,5,False,0.89,Firefox,False,2.3,1.92,3.0,14.29,Wednesday,Afternoon,True
user_235,4,4,True,0.5,Other,False,3.83,1.01,2.07,25.74,Sunday,Afternoon,True
user_1156,6,3,False,0.99,Chrome,False,4.04,1.9,2.04,38.27,Saturday,Afternoon,True
user_1942,3,2,False,0.84,Chrome,False,3.49,1.07,4.73,17.76,Thursday,Afternoon,True
user_447,2,1,False,0.42,Chrome,False,1.85,0.73,0.99,62.82,Thursday,Morning,False
user_953,7,5,False,0.91,Chrome,False,3.63,1.28,4.41,12.24,Sunday,Morning,True
user_1433,1,2,True,0.35,Edge,False,0.15,0.36,0.67,74.52,Thursday,Afternoon,False
user_525,5,2,False,0.14,Firefox,False,1.94,0.85,1.58,49.44,Saturday,Evening,False
user_1571,1,2,False,0.01,Chrome,False,1.27,0.31,1.26,76.3,Sunday,Evening,False
user_756,3,0,False,0.04,Chrome,False,1.86,0.81,1.45,74.86,Thursday,Night,False
user_344,4,1,True,0.16,Chrome,False,1.81,0.27,1.47,40.02,Friday,Morning,False
user_1241,3,0,False,0.35,Chrome,False,0.34,0.22,1.34,56.15,Saturday,Morning,False
user_1244,4,1,False,0.36,Chrome,True,0.53,0.98,1.12,41.32,Monday,Morning,False
user_1974,8,2,False,0.72,Firefox,False,2.24,1.74,2.73,34.09,Friday,Night,True
user_1532,8,3,True,0.9,Chrome,False,4.09,2.72,2.98,16.61,Tuesday,Evening,True
user_1472,6,4,True,0.7,Firefox,False,4.03,2.47,2.63,26.24,Tuesday,Evening,True
user_235,6,2,True,0.76,Chrome,True,4.9,2.12,4.65,15.66,Monday,Evening,True
user_1593,3,1,False,0.32,Chrome,False,1.8,0.61,0.51,44.06,Wednesday,Morning,False
user_1678,2,1,False,0.35,Firefox,False,1.42,0.24,0.99,69.86,Sunday,Evening,False
user_336,1,2,False,0.13,Chrome,True,0.79,0.89,1.45,71.79,Saturday,Morning,False
user_1976,1,0,False,0.25,Firefox,False,0.09,0.99,1.2,51.18,Saturday,Evening,False
user_638,1,0,True,0.21,Other,True,1.71,0.29,1.08,74.05,Wednesday,Night,False
user_222,3,2,True,0.85,Firefox,False,3.85,2.98,2.42,25.55,Tuesday,Afternoon,True
user_1186,3,1,False,0.68,Chrome,False,4.43,2.73,4.74,25.34,Monday,Night,True
user_53,4,0,False,0.2,Chrome,False,0.06,0.58,1.16,66.88,Wednesday,Morning,False
user_1903,5,1,False,0.02,Chrome,False,0.72,0.13,1.28,70.8,Thursday,Night,False
user_639,9,4,True,0.6,Chrome,False,2.42,1.27,4.91,31.44,Wednesday,Morning,True
user_1180,9,3,False,0.54,Chrome,True,4.51,2.39,3.23,15.2,Monday,Evening,True
user_1388,1,0,False,0.48,Edge,False,1.22,0.42,0.87,54.24,Friday,Afternoon,False
user_1860,5,1,False,0.05,Chrome,True,0.35,0.02,1.65,72.28,Thursday,Morning,False
user_1963,8,5,False,0.81,Firefox,False,3.12,2.25,3.51,35.69,Friday,Morning,True
user_769,2,0,True,0.32,Edge,False,1.15,0.13,1.72,72.83,Thursday,Evening,False
user_813,1,1,False,0.14,Chrome,False,0.08,0.62,1.0,66.23,Friday,Afternoon,False
user_1929,2,1,True,0.14,Chrome,False,1.26,0.88,1.6,72.14,Monday,Night,False
user_1465,5,0,False,0.29,Edge,False,0.5,0.58,1.8,62.47,Thursday,Morning,False
user_407,5,2,False,0.05,Safari,False,1.65,0.32,1.84,55.57,Thursday,Morning,False
user_156,3,0,False,0.48,Other,False,1.26,0.45,0.94,53.15,Wednesday,Morning,False
user_1213,7,1,False,0.97,Other,True,2.17,2.47,3.64,31.17,Sunday,Night,True
user_1415,2,1,False,0.05,Chrome,False,0.15,0.82,1.56,43.25,Friday,Afternoon,False
user_1702,7,1,True,0.62,Safari,False,3.05,2.42,3.45,21.34,Sunday,Evening,True
user_1285,2,2,False,0.25,Chrome,False,0.11,0.12,0.68,65.97,Monday,Evening,False
user_498,6,1,False,0.64,Safari,False,4.89,1.02,4.91,11.29,Friday,Night,True
user_209,5,2,True,0.13,Firefox,False,0.33,0.22,0.94,79.83,Saturday,Afternoon,False
user_1428,1,2,False,0.48,Safari,False,1.24,0.28,0.78,58.55,Tuesday,Night,False
user_1583,4,0,True,0.49,Firefox,False,0.62,0.81,1.53,46.5,Saturday,Evening,False
user_618,2,2,False,0.31,Chrome,True,1.73,0.05,0.54,55.06,Monday,Afternoon,False
user_1742,3,3,False,0.69,Other,False,4.51,1.94,3.24,18.2,Sunday,Afternoon,True
user_1402,1,0,True,0.5,Firefox,False,1.89,0.85,0.87,58.02,Saturday,Morning,False
user_1230,5,0,False,0.44,Edge,False,0.54,0.02,1.25,59.05,Wednesday,Evening,False
user_1650,4,0,False,0.28,Safari,False,0.27,0.03,1.63,64.81,Tuesday,Evening,False
user_248,9,4,True,0.8,Firefox,False,2.27,2.45,3.64,23.53,Sunday,Night,True
user_1631,9,2,True,0.97,Chrome,True,3.48,1.52,3.38,39.4,Friday,Afternoon,True
user_1160,3,2,False,0.04,Chrome,False,0.3,0.14,1.46,47.28,Monday,Evening,False
user_1603,3,0,True,0.3,Chrome,False,0.69,0.35,0.55,61.95,Friday,Morning,False
user_85,2,1,False,0.25,Firefox,False,1.6,0.63,0.62,74.94,Sunday,Night,False
user_712,1,1,True,0.04,Firefox,True,1.07,0.92,0.85,70.4,Saturday,Night,False
user_1092,5,1,False,0.13,Edge,False,1.02,0.53,0.66,57.9,Wednesday,Evening,False
user_878,3,5,False,0.78,Edge,False,3.61,1.47,3.03,24.22,Tuesday,Evening,True
user_1355,7,2,False,0.77,Firefox,False,3.29,1.26,2.85,20.89,Tuesday,Night,True
user_759,5,3,True,0.8,Chrome,False,2.46,1.49,2.48,15.6,Saturday,Afternoon,True
user_142,9,1,False,0.76,Chrome,True,2.34,1.8,4.91,35.97,Saturday,Afternoon,True
user_1037,8,3,True,0.86,Firefox,False,4.52,1.41,4.9,31.33,Thursday,Morning,True
user_1327,1,2,False,0.38,Chrome,False,1.86,0.32,1.39,54.77,Tuesday,Morning,False
user_699,2,1,False,0.4,Chrome,False,1.52,0.6,1.21,56.47,Saturday,Evening,False
user_26,5,1,False,0.2,Safari,True,0.41,0.38,1.89,68.86,Thursday,Night,False
user_1740,5,1,False,0.9,Edge,False,2.71,2.27,4.72,19.49,Tuesday,Morning,True
user_861,9,3,False,0.77,Chrome,False,3.07,1.78,3.6,12.0,Wednesday,Evening,True
user_1685,3,2,False,0.35,Chrome,False,0.99,0.74,1.36,79.91,Monday,Morning,False
user_1004,5,2,False,0.02,Firefox,False,1.75,0.34,1.73,44.43,Thursday,Morning,False
user_217,4,2,False,0.07,Chrome,False,1.44,0.64,1.54,61.71,Wednesday,Evening,False
user_888,4,2,True,0.17,Chrome,False,0.58,0.61,1.87,45.56,Tuesday,Morning,False
user_1968,9,4,False,0.55,Safari,False,2.07,2.3,4.31,21.23,Monday,Afternoon,True
user_742,7,1,True,0.73,Chrome,True,4.52,1.25,4.76,36.1,Sunday,Evening,True
user_1302,9,5,False,0.87,Chrome,False,3.81,1.23,3.24,35.91,Saturday,Afternoon,True
user_1826,4,3,False,0.73,Chrome,False,2.42,1.35,3.5,22.57,Monday,Morning,True
user_1698,9,3,False,0.51,Firefox,False,4.88,1.3,3.24,12.56,Friday,Night,True
user_942,1,0,False,0.21,Edge,False,0.94,0.62,1.07,73.46,Wednesday,Afternoon,False
user_1449,8,3,False,0.76,Chrome,False,3.68,1.31,2.55,35.85,Sunday,Evening,True
user_314,4,3,False,0.7,Chrome,False,4.15,2.32,2.08,16.66,Sunday,Evening,True
user_892,1,2,False,0.44,Firefox,False,1.61,0.99,1.4,72.27,Thursday,Night,False
user_361,8,5,False,0.66,Chrome,False,4.21,2.7,2.37,36.29,Friday,Night,True
user_1503,2,0,True,0.17,Chrome,False,1.18,0.27,1.44,56.38,Saturday,Morning,False
user_1069,5,2,True,0.38,Chrome,False,0.97,0.89,1.7,57.01,Wednesday,Morning,False
user_1978,1,1,False,0.13,Chrome,False,1.97,0.53,0.76,50.89,Wednesday,Afternoon,False
user_1333,5,1,False,0.14,Firefox,False,1.66,0.21,0.52,45.48,Monday,Evening,False
user_554,3,1,False,0.33,Chrome,True,0.84,0.38,1.28,41.88,Thursday,Afternoon,False
user_1262,1,2,False,0.39,Chrome,False,0.87,0.92,1.58,64.42,Saturday,Afternoon,False
user_1656,9,5,False,0.63,Firefox,False,4.52,2.69,4.87,14.64,Monday,Afternoon,True
user_1884,5,0,False,0.36,Chrome,False,0.87,0.25,1.73,71.98,Thursday,Evening,False
user_1103,8,2,False,0.66,Edge,True,4.37,2.38,3.56,12.6,Wednesday,Night,True
user_1587,3,5,False,0.92,Chrome,False,2.66,2.98,4.83,11.18,Tuesday,Night,True
user_991,1,2,False,0.24,Chrome,False,1.46,0.19,0.67,56.87,Friday,Afternoon,False
user_953,6,3,False,0.91,Chrome,False,2.69,1.24,2.23,30.89,Tuesday,Evening,True
user_893,6,1,False,0.83,Edge,False,3.28,2.75,3.25,23.86,Tuesday,Afternoon,True
user_1692,5,0,False,0.47,Chrome,False,0.11,0.09,0.56,59.19,Thursday,Evening,False
user_1498,2,1,False,0.21,Edge,False,0.22,0.35,0.93,51.85,Saturday,Morning,False
user_1214,1,0,True,0.21,Chrome,False,0.44,0.95,1.68,43.58,Saturday,Evening,False
user_550,3,1,False,0.08,Other,False,1.89,0.65,1.41,60.51,Tuesday,Evening,False
user_661,1,1,False,0.48,Edge,False,1.26,0.22,1.28,63.89,Monday,Morning,False
user_1745,4,3,False,0.85,Chrome,False,2.67,1.45,3.61,27.79,Saturday,Morning,True
user_503,3,0,False,0.14,Chrome,False,1.7,0.04,0.99,77.26,Wednesday,Evening,False
user_1702,6,3,False,0.75,Chrome,False,4.05,1.15,4.55,24.85,Saturday,Morning,True
user_1915,2,2,False,0.34,Firefox,False,1.76,0.8,1.49,74.02,Wednesday,Night,False
user_178,5,2,False,0.47,Chrome,False,0.38,0.88,1.94,58.62,Sunday,Evening,False
user_572,4,3,False,0.95,Chrome,False,4.27,1.52,2.58,12.52,Wednesday,Morning,True
user_1806,1,2,False,0.0,Edge,False,0.57,0.02,1.15,73.6,Thursday,Night,False
user_924,5,0,False,0.09,Edge,True,0.33,0.77,1.56,58.94,Saturday,Afternoon,False
user_500,5,2,True,0.99,Other,False,2.39,2.52,2.07,10.66,Saturday,Evening,True
user_1537,3,2,False,0.22,Chrome,True,0.85,0.45,0.75,71.79,Friday,Evening,False
user_952,4,4,False,0.64,Other,False,3.3,2.89,3.26,29.16,Saturday,Evening,True
user_1168,5,2,False,0.16,Edge,False,0.4,0.87,1.57,62.51,Thursday,Night,False
user_1250,4,1,False,0.05,Chrome,False,1.06,0.02,1.7,51.77,Thursday,Afternoon,False
user_1369,4,1,False,0.0,Firefox,False,0.5,0.56,0.84,46.43,Saturday,Afternoon,False
user_777,7,2,False,0.66,Chrome,False,2.22,1.78,3.44,28.0,Wednesday,Morning,True
user_689,3,4,False,0.52,Chrome,False,2.73,2.97,2.43,24.97,Saturday,Night,True
user_59,1,1,False,0.47,Chrome,False,1.77,0.08,1.74,54.31,Sunday,Afternoon,False
user_1013,9,2,False,0.9,Chrome,False,2.31,2.27,4.12,10.95,Saturday,Morning,True
user_1743,1,1,True,0.47,Firefox,False,1.22,0.48,1.49,62.12,Saturday,Afternoon,False
user_666,2,2,False,0.26,Edge,False,0.12,0.25,0.74,74.87,Tuesday,Evening,False
user_373,8,4,False,0.94,Chrome,False,2.49,1.04,3.96,19.97,Monday,Evening,True
user_999,4,1,False,0.11,Chrome,False,1.68,0.17,1.94,56.64,Thursday,Morning,False
user_435,4,1,True,0.02,Safari,False,0.88,0.73,1.23,74.94,Tuesday,Night,False
user_727,2,2,False,0.46,Chrome,False,1.26,0.73,0.7,68.63,Saturday,Evening,False
user_1634,4,1,True,0.09,Safari,False,0.49,0.87,1.17,60.59,Monday,Night,False
user_530,1,2,False,0.2,Safari,False,1.18,0.6,1.09,49.48,Sunday,Evening,False
user_698,3,1,False,0.26,Chrome,False,0.86,0.25,1.43,68.27,Saturday,Night,False
user_573,1,2,False,0.33,Chrome,False,1.61,0.59,1.8,48.23,Friday,Night,False
user_1803,2,0,False,0.47,Chrome,False,0.9,0.93,0.97,60.29,Saturday,Night,False
user_1221,6,5,False,0.84,Chrome,False,4.92,2.16,2.76,25.65,Sunday,Night,True
user_1437,6,5,False,0.97,Edge,False,2.57,2.46,2.47,17.04,Sunday,Afternoon,True
user_1803,2,0,True,0.47,Firefox,False,1.24,0.87,1.36,41.22,Monday,Afternoon,False
